id,Sentence,Aspect Term,polarity,from,to,cleaned_sentence,processed_sentence,aspect_category,predicted_sentiment
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,positive,66,73,from the incredible food to the warm atmosphere to the friendly service this downtown neighborhood spot doesnt miss a beat,incredible food warm atmosphere friendly service downtown neighborhood spot not miss beat,service,positive
638,"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,positive,6,10,great food at reasonable prices makes for an evening that cant be beat,great food reasonable price make evening not beat,food,positive
638,"Great food at REASONABLE prices, makes for an evening that can't be beat!",prices,positive,25,31,great food at reasonable prices makes for an evening that cant be beat,great food reasonable price make evening not beat,price,positive
388,this little place has a cute interior decor and affordable city prices.,interior decor,positive,29,43,this little place has a cute interior decor and affordable city prices,little place cute interior decor affordable city price,ambience,positive
388,this little place has a cute interior decor and affordable city prices.,prices,positive,64,70,this little place has a cute interior decor and affordable city prices,little place cute interior decor affordable city price,price,positive
3373,Two words: Free wine.,wine,positive,16,20,two words free wine,word free wine,food,positive
425,The price is reasonable although the service is poor.,price,positive,4,9,the price is reasonable although the service is poor,price reasonable service poor,price,negative
425,The price is reasonable although the service is poor.,service,negative,37,44,the price is reasonable although the service is poor,price reasonable service poor,service,negative
3192,"The quantity is also very good, you will come out satisfied.",quantity,positive,4,12,the quantity is also very good you will come out satisfied,quantity good come satisfied,food,positive
391,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,neutral,118,123,i stumbled upon this second floor walkup two fridays ago when i was with two friends in town from la being serious sushi lovers we sat at the sushi bar to be closer to the action,stumble second floor walkup friday ago friend town la sushi lover sit sushi bar close action,food,positive
391,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi bar,neutral,146,155,i stumbled upon this second floor walkup two fridays ago when i was with two friends in town from la being serious sushi lovers we sat at the sushi bar to be closer to the action,stumble second floor walkup friday ago friend town la sushi lover sit sushi bar close action,food,positive
2384,The fried rice is amazing here.,fried rice,positive,4,14,the fried rice is amazing here,fried rice amazing,food,positive
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels,positive,42,49,three courses  choices include excellent mussels puff pastry goat cheese and salad with a delicious dressing and a hanger steak au poivre that is out of this world,course choice include excellent mussel puff pastry goat cheese salad delicious dressing hang steak au poivre world,food,positive
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff pastry goat cheese,positive,51,74,three courses  choices include excellent mussels puff pastry goat cheese and salad with a delicious dressing and a hanger steak au poivre that is out of this world,course choice include excellent mussel puff pastry goat cheese salad delicious dressing hang steak au poivre world,food,positive
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",salad with a delicious dressing,positive,79,110,three courses  choices include excellent mussels puff pastry goat cheese and salad with a delicious dressing and a hanger steak au poivre that is out of this world,course choice include excellent mussel puff pastry goat cheese salad delicious dressing hang steak au poivre world,food,positive
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",hanger steak au poivre,positive,118,140,three courses  choices include excellent mussels puff pastry goat cheese and salad with a delicious dressing and a hanger steak au poivre that is out of this world,course choice include excellent mussel puff pastry goat cheese salad delicious dressing hang steak au poivre world,food,positive
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,neutral,6,13,three courses  choices include excellent mussels puff pastry goat cheese and salad with a delicious dressing and a hanger steak au poivre that is out of this world,course choice include excellent mussel puff pastry goat cheese salad delicious dressing hang steak au poivre world,food,positive
3404,it's a perfect place to have a amanzing indian food.,indian food,positive,40,51,its a perfect place to have a amanzing indian food,perfect place amanze indian food,food,positive
2599,The place is so cool and the service is prompt and curtious.,service,positive,29,36,the place is so cool and the service is prompt and curtious,place cool service prompt curtious,service,positive
2599,The place is so cool and the service is prompt and curtious.,place,positive,4,9,the place is so cool and the service is prompt and curtious,place cool service prompt curtious,location,positive
673,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,positive,35,53,at the end youre left with a mild broth with noodles that you can slurp out of a cup,end leave mild broth noodle slurp cup,food,neutral
648,I just wonder how you can have such a delicious meal for such little money.,meal,positive,48,52,i just wonder how you can have such a delicious meal for such little money,wonder delicious meal little money,food,positive
648,I just wonder how you can have such a delicious meal for such little money.,money,positive,69,74,i just wonder how you can have such a delicious meal for such little money,wonder delicious meal little money,price,positive
863,The food was delicious but do not come here on a empty stomach.,food,conflict,4,8,the food was delicious but do not come here on a empty stomach,food delicious come stomach,food,neutral
1623,The wine list is excellent.,wine list,positive,4,13,the wine list is excellent,wine list excellent,food,positive
430,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Thai food,positive,84,93,ive been to many thai restaurants in manhattan before and toons is by far the best thai food ive had except for my moms of course,ve thai restaurant manhattan toon far good thai food ve mom course,food,positive
1101,They wouldnt even let me finish my glass of wine before offering another.,glass of wine,neutral,35,48,they wouldnt even let me finish my glass of wine before offering another,not let finish glass wine offer,food,neutral
324,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,neutral,75,83,whem asked we had to ask more detailed questions so that we knew what the specials were,whem ask ask detailed question know special,food,neutral
2783,This is a consistently great place to dine for lunch or dinner.,lunch,neutral,47,52,this is a consistently great place to dine for lunch or dinner,consistently great place dine lunch dinner,food,positive
2783,This is a consistently great place to dine for lunch or dinner.,dinner,neutral,56,62,this is a consistently great place to dine for lunch or dinner,consistently great place dine lunch dinner,food,positive
2783,This is a consistently great place to dine for lunch or dinner.,dine,positive,38,42,this is a consistently great place to dine for lunch or dinner,consistently great place dine lunch dinner,others,positive
2983,"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,positive,5,15,nice atmosphere the service was very pleasant and the desert was good,nice atmosphere service pleasant desert good,ambience,positive
2983,"Nice atmosphere, the service was very pleasant and the desert was good.",service,positive,21,28,nice atmosphere the service was very pleasant and the desert was good,nice atmosphere service pleasant desert good,service,positive
2983,"Nice atmosphere, the service was very pleasant and the desert was good.",desert,positive,55,61,nice atmosphere the service was very pleasant and the desert was good,nice atmosphere service pleasant desert good,others,positive
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,positive,39,42,after really enjoying ourselves at the bar we sat down at a table and had dinner,enjoy bar sit table dinner,food,positive
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,table,neutral,60,65,after really enjoying ourselves at the bar we sat down at a table and had dinner,enjoy bar sit table dinner,price,positive
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,neutral,74,80,after really enjoying ourselves at the bar we sat down at a table and had dinner,enjoy bar sit table dinner,food,positive
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,positive,9,16,fabulous service fantastic food and a chilled out atmosphere and environment,fabulous service fantastic food chill atmosphere environment,service,positive
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,positive,28,32,fabulous service fantastic food and a chilled out atmosphere and environment,fabulous service fantastic food chill atmosphere environment,food,positive
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",atmosphere,positive,52,62,fabulous service fantastic food and a chilled out atmosphere and environment,fabulous service fantastic food chill atmosphere environment,ambience,positive
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,positive,67,78,fabulous service fantastic food and a chilled out atmosphere and environment,fabulous service fantastic food chill atmosphere environment,ambience,positive
2787,Try the lasagnette appetizer.,lasagnette appetizer,positive,8,28,try the lasagnette appetizer,try lasagnette appetizer,food,neutral
604,I liked the beer selection!,beer selection,positive,12,26,i liked the beer selection,like beer selection,food,positive
2911,"Great food, good size menu, great service and an unpretensious setting.",food,positive,6,10,great food good size menu great service and an unpretensious setting,great food good size menu great service unpretensious setting,food,positive
2911,"Great food, good size menu, great service and an unpretensious setting.",menu,positive,22,26,great food good size menu great service and an unpretensious setting,great food good size menu great service unpretensious setting,food,positive
2911,"Great food, good size menu, great service and an unpretensious setting.",service,positive,34,41,great food good size menu great service and an unpretensious setting,great food good size menu great service unpretensious setting,service,positive
2911,"Great food, good size menu, great service and an unpretensious setting.",setting,positive,63,70,great food good size menu great service and an unpretensious setting,great food good size menu great service unpretensious setting,ambience,positive
3074,Go here for a romantic dinner but not for an all out wow dining experience.,dinner,positive,23,29,go here for a romantic dinner but not for an all out wow dining experience,romantic dinner wow dining experience,food,positive
3074,Go here for a romantic dinner but not for an all out wow dining experience.,dining,positive,57,63,go here for a romantic dinner but not for an all out wow dining experience,romantic dinner wow dining experience,food,positive
1074,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Dosa,neutral,17,21,i grew up eating dosa and have yet to find a place in ny to satisfy my taste buds,grow eat dosa find place ny satisfy taste bud,food,positive
912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,positive,0,19,wine list selection is good and winebytheglass was generously filled to the top,wine list selection good winebytheglass generously fill,food,positive
912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,positive,32,49,wine list selection is good and winebytheglass was generously filled to the top,wine list selection good winebytheglass generously fill,food,positive
728,"With the great variety on the menu , I eat here often and never get bored .",menu,positive,30,34,with the great variety on the menu  i eat here often and never get bored ,great variety menu eat bored,food,positive
2925,The menu is very limited - i think we counted 4 or 5 entrees.,menu,negative,4,8,the menu is very limited  i think we counted  or  entrees,menu limited think count entree,food,negative
2925,The menu is very limited - i think we counted 4 or 5 entrees.,entrees,negative,53,60,the menu is very limited  i think we counted  or  entrees,menu limited think count entree,food,negative
3436,The menu is limited but almost all of the dishes are excellent.,menu,negative,4,8,the menu is limited but almost all of the dishes are excellent,menu limited dish excellent,food,positive
3436,The menu is limited but almost all of the dishes are excellent.,dishes,positive,42,48,the menu is limited but almost all of the dishes are excellent,menu limited dish excellent,food,positive
3273,Not too crazy about their sake martini.,sake martini,negative,26,38,not too crazy about their sake martini,crazy sake martini,food,positive
1215,"Great bagels, spreads and a good place to hang out in.",bagels,positive,6,12,great bagels spreads and a good place to hang out in,great bagel spread good place hang,food,positive
1215,"Great bagels, spreads and a good place to hang out in.",spreads,positive,14,21,great bagels spreads and a good place to hang out in,great bagel spread good place hang,others,positive
183,"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,conflict,4,11,the service varys from day to day sometimes theyre very nice and sometimes not,service vary day day nice,service,positive
282,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,table,neutral,90,95,one thing i liked about this place is that i never felt rushed or pressured to give up my table ot incoming guests,thing like place feel rush pressure table ot incoming guest,price,positive
3249,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive,19,23,unfortunately the food is outstanding but everything else about this restaurant is the pits,unfortunately food outstanding restaurant pit,food,positive
3207,We always have a delicious meal and always leave feeling satisfied.,meal,positive,27,31,we always have a delicious meal and always leave feeling satisfied,delicious meal leave feel satisfied,food,positive
672,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients,neutral,8,19,dip the ingredients in with your chopsticks swirl them around and eat,dip ingredient chopstick swirl eat,food,neutral
672,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",chopsticks,neutral,33,43,dip the ingredients in with your chopsticks swirl them around and eat,dip ingredient chopstick swirl eat,others,neutral
2972,First went here to enjoy their garden terrace.,garden terrace,positive,31,45,first went here to enjoy their garden terrace,go enjoy garden terrace,ambience,positive
1755,The pizza was pretty good and huge.,pizza,positive,4,9,the pizza was pretty good and huge,pizza pretty good huge,food,positive
2277,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",cuisine,neutral,4,11,the cuisine from what ive gathered is authentic taiwanese though its very different from what ive been accustomed to in taipei,cuisine ve gather authentic taiwanese different ve accustom taipei,food,neutral
3680,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,positive,50,60,i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded,hesititate write review atmosphere great hate crowd,ambience,positive
3155,They are often crowded on the weekends but they are efficient and accurate with their service.,service,positive,86,93,they are often crowded on the weekends but they are efficient and accurate with their service,crowded weekend efficient accurate service,service,positive
3155,They are often crowded on the weekends but they are efficient and accurate with their service.,crowded,negative,15,22,they are often crowded on the weekends but they are efficient and accurate with their service,crowded weekend efficient accurate service,ambience,positive
1688,All my co-workers were amazed at how small the dish was.,dish,negative,47,51,all my coworkers were amazed at how small the dish was,coworker amazed small dish,food,positive
598,"The atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere,positive,4,14,the atmosphere is unheralded the service impecible and the food magnificant,atmosphere unheralded service impecible food magnificant,ambience,neutral
598,"The atmosphere is unheralded, the service impecible, and the food magnificant.",service,positive,34,41,the atmosphere is unheralded the service impecible and the food magnificant,atmosphere unheralded service impecible food magnificant,service,neutral
598,"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,positive,61,65,the atmosphere is unheralded the service impecible and the food magnificant,atmosphere unheralded service impecible food magnificant,food,neutral
2926,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,negative,24,40,we ordered the special grilled branzino that was so infused with bone it was difficult to eat,order special grill branzino infused bone difficult eat,food,positive
3083,"The wait staff is friendly, and the food has gotten better and better!",wait staff,positive,4,14,the wait staff is friendly and the food has gotten better and better,wait staff friendly food get well well,service,positive
3083,"The wait staff is friendly, and the food has gotten better and better!",food,positive,36,40,the wait staff is friendly and the food has gotten better and better,wait staff friendly food get well well,food,positive
2977,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,positive,44,48,it may be a bit packed on weekends but the vibe is good and it is the best french food you will find in the area,bit packed weekend vibe good good french food find area,ambience,positive
2977,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",French food,positive,76,87,it may be a bit packed on weekends but the vibe is good and it is the best french food you will find in the area,bit packed weekend vibe good good french food find area,food,positive
2977,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",packed,negative,16,22,it may be a bit packed on weekends but the vibe is good and it is the best french food you will find in the area,bit packed weekend vibe good good french food find area,others,positive
2604,Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza,positive,64,69,right off the l in brooklyn this is a nice cozy place with good pizza,right l brooklyn nice cozy place good pizza,food,positive
2604,Right off the L in Brooklyn this is a nice cozy place with good pizza.,place,positive,48,53,right off the l in brooklyn this is a nice cozy place with good pizza,right l brooklyn nice cozy place good pizza,location,positive
2960,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,positive,25,41,le pere pinard has a  pretheater menu that is outstanding,le pere pinard pretheater menu outstanding,food,positive
1383,I also ordered for delivery and the restaurant forgot half the order.,delivery,negative,19,27,i also ordered for delivery and the restaurant forgot half the order,order delivery restaurant forget half order,service,neutral
1383,I also ordered for delivery and the restaurant forgot half the order.,order,negative,63,68,i also ordered for delivery and the restaurant forgot half the order,order delivery restaurant forget half order,others,neutral
892,Our server checked on us maybe twice during the entire meal.,server,negative,4,10,our server checked on us maybe twice during the entire meal,server check maybe twice entire meal,service,neutral
892,Our server checked on us maybe twice during the entire meal.,meal,neutral,55,59,our server checked on us maybe twice during the entire meal,server check maybe twice entire meal,food,neutral
2936,The strong scents coming from the left and right of me negatively affected my taste buds.,scents,negative,11,17,the strong scents coming from the left and right of me negatively affected my taste buds,strong scent come left right negatively affect taste bud,others,positive
3423,We had the lobster sandwich and it was FANTASTIC.,lobster sandwich,positive,11,27,we had the lobster sandwich and it was fantastic,lobster sandwich fantastic,food,positive
1197,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,negative,143,148,had we been stalling i could understand where they were coming from but we had been there less than an hour and they hadnt even brought us a check yet,stall understand come hour not bring check,service,negative
2274,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",Spider Roll,conflict,11,22,though the spider roll may look like a challenge to eat with soft shell crab hanging out of the roll it is well worth the price you pay for them,spider roll look like challenge eat soft shell crab hang roll worth price pay,food,positive
2274,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,positive,124,129,though the spider roll may look like a challenge to eat with soft shell crab hanging out of the roll it is well worth the price you pay for them,spider roll look like challenge eat soft shell crab hang roll worth price pay,price,positive
2274,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell crab,positive,67,77,though the spider roll may look like a challenge to eat with soft shell crab hanging out of the roll it is well worth the price you pay for them,spider roll look like challenge eat soft shell crab hang roll worth price pay,food,positive
2804,Deep Fried Skewers are good and still rare to find in NYC.,Deep Fried Skewers,positive,0,18,deep fried skewers are good and still rare to find in nyc,deep fried skewer good rare find nyc,food,positive
194,"I have tried to make reservations, but both times, the hostess didn't have my name.",reservations,neutral,21,33,i have tried to make reservations but both times the hostess didnt have my name,try reservation time hostess not,service,neutral
194,"I have tried to make reservations, but both times, the hostess didn't have my name.",hostess,negative,55,62,i have tried to make reservations but both times the hostess didnt have my name,try reservation time hostess not,service,neutral
148,I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,positive,21,32,i also recommend the rice dishes or the different varieties of congee rice porridge,recommend rice dish different variety congee rice porridge,food,positive
148,I also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),positive,63,85,i also recommend the rice dishes or the different varieties of congee rice porridge,recommend rice dish different variety congee rice porridge,food,positive
2747,Their tuna tartar appetizer is to die for.,tuna tartar appetizer,positive,6,27,their tuna tartar appetizer is to die for,tuna tartar appetizer die,food,negative
